RUN	AdvancedSimulation	advancedsimulation	1710035380641	 	3.2.1
USER	Buscar usuários	39	END	1710035386015	1710035389836
USER	Buscar usuários	42	END	1710035386615	1710035389937
USER	Buscar produtos	77	START	1710035389946	1710035389946
REQUEST	77		GET_produtos	1710035389947	1710035389953	OK	 
USER	Buscar usuários	40	END	1710035386216	1710035389996
USER	Buscar usuários	73	START	1710035390016	1710035390016
REQUEST	73		GET_usuarios	1710035390017	1710035390022	OK	 
USER	Buscar usuários	51	END	1710035387616	1710035390156
USER	Buscar usuários	55	END	1710035387816	1710035390156
USER	Buscar usuários	74	START	1710035390216	1710035390216
REQUEST	74		GET_usuarios	1710035390217	1710035390222	OK	 
USER	Buscar produtos	78	START	1710035390276	1710035390276
REQUEST	78		GET_produtos	1710035390277	1710035390283	OK	 
USER	Buscar usuários	38	END	1710035385816	1710035390316
USER	Buscar usuários	34	END	1710035385616	1710035390327
USER	Buscar usuários	75	START	1710035390416	1710035390416
REQUEST	75		GET_usuarios	1710035390418	1710035390422	OK	 
USER	Buscar usuários	49	END	1710035387216	1710035390477
USER	Buscar carrinhos	80	START	1710035390616	1710035390616
USER	Buscar produtos	79	START	1710035390616	1710035390616
USER	Buscar usuários	76	START	1710035390616	1710035390616
REQUEST	76		GET_usuarios	1710035390617	1710035390623	OK	 
REQUEST	79		GET_produtos	1710035390617	1710035390623	OK	 
REQUEST	80		GET_carrinhos	1710035390617	1710035390624	OK	 
USER	Buscar carrinhos	20	END	1710035383616	1710035390676
USER	Buscar usuários	47	END	1710035386816	1710035390746
USER	Buscar produtos	43	END	1710035385946	1710035390777
USER	Buscar usuários	81	START	1710035390816	1710035390816
REQUEST	81		GET_usuarios	1710035390818	1710035390823	OK	 
USER	Buscar carrinhos	37	END	1710035385616	1710035390846
USER	Buscar usuários	56	END	1710035388016	1710035391017
USER	Buscar usuários	82	START	1710035391017	1710035391017
REQUEST	82		GET_usuarios	1710035391018	1710035391023	OK	 
USER	Buscar usuários	64	END	1710035388816	1710035391046
USER	Buscar usuários	50	END	1710035387416	1710035391056
USER	Buscar usuários	65	END	1710035389016	1710035391107
USER	Buscar produtos	86	START	1710035391115	1710035391115
REQUEST	86		GET_produtos	1710035391116	1710035391119	OK	 
USER	Buscar usuários	83	START	1710035391216	1710035391216
REQUEST	83		GET_usuarios	1710035391217	1710035391222	OK	 
USER	Buscar usuários	41	END	1710035386416	1710035391376
USER	Buscar usuários	84	START	1710035391416	1710035391416
REQUEST	84		GET_usuarios	1710035391416	1710035391418	OK	 
USER	Buscar usuários	85	START	1710035391616	1710035391616
USER	Buscar produtos	87	START	1710035391616	1710035391616
USER	Buscar carrinhos	88	START	1710035391616	1710035391616
REQUEST	88		GET_carrinhos	1710035391617	1710035391621	OK	 
REQUEST	87		GET_produtos	1710035391617	1710035391622	OK	 
REQUEST	85		GET_usuarios	1710035391616	1710035391623	OK	 
USER	Buscar produtos	60	END	1710035387945	1710035391797
USER	Buscar usuários	89	START	1710035391816	1710035391816
REQUEST	89		GET_usuarios	1710035391817	1710035391821	OK	 
USER	Buscar produtos	94	START	1710035391946	1710035391946
REQUEST	94		GET_produtos	1710035391947	1710035391952	OK	 
USER	Buscar usuários	90	START	1710035392016	1710035392016
REQUEST	90		GET_usuarios	1710035392017	1710035392022	OK	 
USER	Buscar produtos	62	END	1710035388616	1710035392077
USER	Buscar usuários	59	END	1710035388616	1710035392195
USER	Buscar usuários	91	START	1710035392216	1710035392216
