ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710037188708	 	3.2.1
USER	Buscar produtos	61	START	1710037196358	1710037196358
REQUEST	61		GET_produtos	1710037196359	1710037196364	OK	 
USER	Buscar usuários	58	START	1710037196487	1710037196487
REQUEST	58		GET_usuarios	1710037196488	1710037196492	OK	 
USER	Buscar usuários	40	END	1710037194287	1710037196517
USER	Buscar usuários	59	START	1710037196687	1710037196687
USER	Buscar carrinhos	63	START	1710037196687	1710037196687
USER	Buscar produtos	62	START	1710037196687	1710037196687
REQUEST	62		GET_produtos	1710037196687	1710037196690	OK	 
REQUEST	63		GET_carrinhos	1710037196687	1710037196691	OK	 
REQUEST	59		GET_usuarios	1710037196687	1710037196691	OK	 
USER	Buscar carrinhos	19	END	1710037190688	1710037196778
USER	Buscar produtos	36	END	1710037193687	1710037196838
USER	Buscar usuários	64	START	1710037196887	1710037196887
REQUEST	64		GET_usuarios	1710037196888	1710037196892	OK	 
USER	Buscar usuários	65	START	1710037197087	1710037197087
REQUEST	65		GET_usuarios	1710037197089	1710037197095	OK	 
USER	Buscar usuários	31	END	1710037193087	1710037197117
USER	Buscar usuários	33	END	1710037193486	1710037197167
USER	Buscar produtos	69	START	1710037197187	1710037197187
REQUEST	69		GET_produtos	1710037197188	1710037197193	OK	 
USER	Buscar usuários	66	START	1710037197286	1710037197286
REQUEST	66		GET_usuarios	1710037197287	1710037197291	OK	 
USER	Buscar usuários	67	START	1710037197488	1710037197488
REQUEST	67		GET_usuarios	1710037197489	1710037197494	OK	 
USER	Buscar usuários	68	START	1710037197688	1710037197688
USER	Buscar carrinhos	71	START	1710037197688	1710037197688
USER	Buscar produtos	70	START	1710037197688	1710037197688
REQUEST	70		GET_produtos	1710037197689	1710037197693	OK	 
REQUEST	68		GET_usuarios	1710037197689	1710037197693	OK	 
REQUEST	71		GET_carrinhos	1710037197689	1710037197695	OK	 
USER	Buscar usuários	42	END	1710037194687	1710037197707
USER	Buscar usuários	39	END	1710037194087	1710037197716
USER	Buscar produtos	26	END	1710037192017	1710037197767
USER	Buscar usuários	72	START	1710037197887	1710037197887
REQUEST	72		GET_usuarios	1710037197889	1710037197894	OK	 
USER	Buscar produtos	77	START	1710037198017	1710037198017
REQUEST	77		GET_produtos	1710037198017	1710037198020	OK	 
USER	Buscar usuários	47	END	1710037194887	1710037198047
USER	Buscar usuários	50	END	1710037195488	1710037198067
USER	Buscar usuários	38	END	1710037193887	1710037198088
USER	Buscar usuários	73	START	1710037198087	1710037198087
REQUEST	73		GET_usuarios	1710037198088	1710037198093	OK	 
USER	Buscar usuários	74	START	1710037198287	1710037198287
REQUEST	74		GET_usuarios	1710037198289	1710037198294	OK	 
USER	Buscar produtos	78	START	1710037198357	1710037198357
REQUEST	78		GET_produtos	1710037198358	1710037198363	OK	 
USER	Buscar carrinhos	20	END	1710037191688	1710037198448
USER	Buscar usuários	75	START	1710037198487	1710037198487
REQUEST	75		GET_usuarios	1710037198489	1710037198493	OK	 
USER	Buscar produtos	52	END	1710037195186	1710037198557
USER	Buscar produtos	28	END	1710037192687	1710037198598
USER	Buscar usuários	34	END	1710037193687	1710037198617
USER	Buscar produtos	35	END	1710037193187	1710037198647
USER	Buscar usuários	76	START	1710037198686	1710037198686
USER	Buscar produtos	79	START	1710037198687	1710037198687
USER	Buscar carrinhos	80	START	1710037198687	1710037198687
REQUEST	76		GET_usuarios	1710037198687	1710037198692	OK	 
REQUEST	80		GET_carrinhos	1710037198688	1710037198693	OK	 
REQUEST	79		GET_produtos	1710037198688	1710037198693	OK	 
USER	Buscar usuários	57	END	1710037196287	1710037198697
USER	Buscar produtos	44	END	1710037194357	1710037198757
USER	Buscar usuários	41	END	1710037194488	1710037198778
USER	Buscar usuários	81	START	1710037198888	1710037198888
REQUEST	81		GET_usuarios	1710037198889	1710037198894	OK	 
USER	Buscar produtos	53	END	1710037195687	1710037198928
USER	Buscar carrinhos	29	END	1710037192687	1710037198997
USER	Buscar produtos	45	END	1710037194687	1710037199067
USER	Buscar usuários	82	START	1710037199087	1710037199087
REQUEST	82		GET_usuarios	1710037199088	1710037199095	OK	 
USER	Buscar produtos	86	START	1710037199187	1710037199187
REQUEST	86		GET_produtos	1710037199188	1710037199193	OK	 
USER	Buscar usuários	48	END	1710037195087	1710037199197
USER	Buscar produtos	43	END	1710037194017	1710037199207
USER	Buscar usuários	55	END	1710037195887	1710037199288
USER	Buscar usuários	83	START	1710037199288	1710037199288
REQUEST	83		GET_usuarios	1710037199289	1710037199294	OK	 
USER	Buscar carrinhos	46	END	1710037194687	1710037199387
USER	Buscar usuários	84	START	1710037199487	1710037199487
REQUEST	84		GET_usuarios	1710037199488	1710037199492	OK	 
USER	Buscar usuários	49	END	1710037195287	1710037199597
USER	Buscar produtos	87	START	1710037199687	1710037199687
USER	Buscar carrinhos	88	START	1710037199687	1710037199687
USER	Buscar usuários	85	START	1710037199687	1710037199687
REQUEST	85		GET_usuarios	1710037199688	1710037199690	OK	 
REQUEST	88		GET_carrinhos	1710037199688	1710037199691	OK	 
REQUEST	87		GET_produtos	1710037199687	1710037199691	OK	 
USER	Buscar usuários	65	END	1710037197087	1710037199707
USER	Buscar produtos	61	END	1710037196358	1710037199747
USER	Buscar carrinhos	37	END	1710037193687	1710037199807
USER	Buscar usuários	64	END	1710037196887	1710037199878
USER	Buscar usuários	89	START	1710037199887	1710037199887
REQUEST	89		GET_usuarios	1710037199888	1710037199894	OK	 
USER	Buscar usuários	51	END	1710037195687	1710037199978
USER	Buscar produtos	94	START	1710037200017	1710037200017
REQUEST	94		GET_produtos	1710037200018	1710037200021	OK	 
USER	Buscar usuários	90	START	1710037200087	1710037200087
REQUEST	90		GET_usuarios	1710037200088	1710037200093	OK	 
USER	Buscar usuários	66	END	1710037197286	1710037200228
USER	Buscar usuários	91	START	1710037200287	1710037200287
REQUEST	91		GET_usuarios	1710037200288	1710037200293	OK	 
USER	Buscar produtos	95	START	1710037200357	1710037200357
REQUEST	95		GET_produtos	1710037200358	1710037200363	OK	 
USER	Buscar produtos	62	END	1710037196687	1710037200437
USER	Buscar usuários	92	START	1710037200488	1710037200488
REQUEST	92		GET_usuarios	1710037200490	1710037200498	OK	 
USER	Buscar carrinhos	97	START	1710037200687	1710037200687
USER	Buscar usuários	93	START	1710037200687	1710037200687
USER	Buscar produtos	96	START	1710037200687	1710037200687
REQUEST	97		GET_carrinhos	1710037200688	1710037200693	OK	 
REQUEST	96		GET_produtos	1710037200688	1710037200694	OK	 
REQUEST	93		GET_usuarios	1710037200688	1710037200695	OK	 
USER	Buscar produtos	70	END	1710037197688	1710037200737
USER	Buscar usuários	58	END	1710037196487	1710037200767
USER	Buscar produtos	60	END	1710037196017	1710037200847
USER	Buscar usuários	98	START	1710037200887	1710037200887
REQUEST	98		GET_usuarios	1710037200888	1710037200893	OK	 
USER	Buscar usuários	56	END	1710037196087	1710037200907
USER	Buscar usuários	59	END	1710037196687	1710037200948
USER	Buscar usuários	99	START	1710037201086	1710037201086
REQUEST	99		GET_usuarios	1710037201087	1710037201090	OK	 
USER	Buscar produtos	103	START	1710037201187	1710037201187
REQUEST	103		GET_produtos	1710037201188	1710037201193	OK	 
USER	Buscar usuários	72	END	1710037197887	1710037201238
USER	Buscar usuários	100	START	1710037201287	1710037201287
REQUEST	100		GET_usuarios	1710037201289	1710037201293	OK	 
USER	Buscar carrinhos	54	END	1710037195687	1710037201347
USER	Buscar produtos	69	END	1710037197187	1710037201377
USER	Buscar carrinhos	63	END	1710037196687	1710037201477
USER	Buscar produtos	78	END	1710037198357	1710037201478
USER	Buscar usuários	101	START	1710037201488	1710037201488
REQUEST	101		GET_usuarios	1710037201489	1710037201493	OK	 
USER	Buscar usuários	81	END	1710037198888	1710037201497
USER	Buscar usuários	68	END	1710037197688	1710037201577
USER	Buscar usuários	67	END	1710037197488	1710037201637
USER	Buscar produtos	104	START	1710037201687	1710037201687
USER	Buscar carrinhos	105	START	1710037201688	1710037201688
USER	Buscar usuários	102	START	1710037201687	1710037201687
REQUEST	102		GET_usuarios	1710037201689	1710037201694	OK	 
REQUEST	104		GET_produtos	1710037201688	1710037201695	OK	 
REQUEST	105		GET_carrinhos	1710037201689	1710037201695	OK	 
USER	Buscar usuários	106	START	1710037201887	1710037201887
REQUEST	106		GET_usuarios	1710037201888	1710037201892	OK	 
USER	Buscar usuários	82	END	1710037199087	1710037201947
USER	Buscar produtos	111	START	1710037202017	1710037202017
REQUEST	111		GET_produtos	1710037202018	1710037202021	OK	 
USER	Buscar usuários	107	START	1710037202087	1710037202087
REQUEST	107		GET_usuarios	1710037202087	1710037202090	OK	 
USER	Buscar usuários	75	END	1710037198487	1710037202137
USER	Buscar usuários	76	END	1710037198686	1710037202158
USER	Buscar usuários	85	END	1710037199687	1710037202277
USER	Buscar usuários	108	START	1710037202288	1710037202288
REQUEST	108		GET_usuarios	1710037202289	1710037202293	OK	 
USER	Buscar produtos	112	START	1710037202357	1710037202357
REQUEST	112		GET_produtos	1710037202358	1710037202364	OK	 
USER	Buscar usuários	91	END	1710037200287	1710037202397
USER	Buscar usuários	109	START	1710037202486	1710037202486
REQUEST	109		GET_usuarios	1710037202487	1710037202489	OK	 
USER	Buscar usuários	90	END	1710037200087	1710037202497
USER	Buscar usuários	83	END	1710037199288	1710037202547
USER	Buscar usuários	73	END	1710037198087	1710037202567
USER	Buscar produtos	113	START	1710037202687	1710037202687
USER	Buscar usuários	110	START	1710037202687	1710037202687
USER	Buscar carrinhos	114	START	1710037202687	1710037202687
REQUEST	114		GET_carrinhos	1710037202688	1710037202693	OK	 
REQUEST	113		GET_produtos	1710037202688	1710037202693	OK	 
REQUEST	110		GET_usuarios	1710037202688	1710037202694	OK	 
USER	Buscar usuários	115	START	1710037202887	1710037202887
REQUEST	115		GET_usuarios	1710037202888	1710037202890	OK	 
USER	Buscar usuários	74	END	1710037198287	1710037203046
USER	Buscar carrinhos	71	END	1710037197688	1710037203087
USER	Buscar usuários	116	START	1710037203087	1710037203087
REQUEST	116		GET_usuarios	1710037203088	1710037203091	OK	 
USER	Buscar usuários	84	END	1710037199487	1710037203117
USER	Buscar produtos	120	START	1710037203187	1710037203187
REQUEST	120		GET_produtos	1710037203188	1710037203191	OK	 
USER	Buscar usuários	117	START	1710037203287	1710037203287
